timestamp,container,cpu_perc,mem_usage,net_io,block_io,pg_connections,redis_clients
2026-09-05T12:34:52.892000+00:00,cranky_kowalevski,0.00%,16.02MiB / 3.825GiB,872B / 126B,0B / 0B,8,2
2026-09-05T12:34:52.892000+00:00,gracious_bhaskara,0.00%,38.5MiB / 3.825GiB,1.82kB / 126B,24.2MB / 0B,8,2
2026-09-05T12:34:52.892000+00:00,dnk_frontend,0.00%,131.9MiB / 3.825GiB,2.33kB / 126B,106MB / 0B,8,2
2026-09-05T12:34:52.892000+00:00,dnk_backend,0.34%,298.1MiB / 3.825GiB,172kB / 192kB,157MB / 242kB,8,2
2026-09-05T12:34:52.892000+00:00,dnk_redis,1.29%,39.41MiB / 3.825GiB,1.14MB / 709kB,31.2MB / 0B,8,2
2026-09-05T12:34:52.892000+00:00,dnk_postgres,0.00%,64.51MiB / 3.825GiB,1.73MB / 1.45MB,40.5MB / 39.7MB,8,2
2026-09-05T12:34:52.892000+00:00,dnk_pgvector,0.03%,45.75MiB / 3.825GiB,2.24kB / 126B,28.2MB / 307kB,8,2
2026-09-05T12:36:01.078663+00:00,cranky_kowalevski,0.00%,16.02MiB / 3.825GiB,872B / 126B,0B / 0B,8,2
2026-09-05T12:36:01.078663+00:00,gracious_bhaskara,0.00%,38.5MiB / 3.825GiB,1.82kB / 126B,24.2MB / 0B,8,2
2026-09-05T12:36:01.078663+00:00,dnk_frontend,0.00%,131.6MiB / 3.825GiB,2.33kB / 126B,106MB / 0B,8,2
2026-09-05T12:36:01.078663+00:00,dnk_backend,4.83%,298.2MiB / 3.825GiB,201kB / 222kB,157MB / 242kB,8,2
2026-09-05T12:36:01.078663+00:00,dnk_redis,0.89%,39.59MiB / 3.825GiB,1.14MB / 709kB,31.2MB / 0B,8,2
2026-09-05T12:36:01.078663+00:00,dnk_postgres,3.66%,64.56MiB / 3.825GiB,1.73MB / 1.45MB,40.5MB / 39.7MB,8,2
2026-09-05T12:36:01.078663+00:00,dnk_pgvector,0.03%,45.5MiB / 3.825GiB,2.24kB / 126B,28.2MB / 307kB,8,2
2026-09-05T12:36:08.330800+00:00,cranky_kowalevski,0.00%,16.02MiB / 3.825GiB,872B / 126B,0B / 0B,8,2
2026-09-05T12:36:08.330800+00:00,gracious_bhaskara,0.00%,38.5MiB / 3.825GiB,1.82kB / 126B,24.2MB / 0B,8,2
2026-09-05T12:36:08.330800+00:00,dnk_frontend,0.00%,131.6MiB / 3.825GiB,2.33kB / 126B,106MB / 0B,8,2
2026-09-05T12:36:08.330800+00:00,dnk_backend,0.23%,301.8MiB / 3.825GiB,522kB / 533kB,157MB / 242kB,8,2
2026-09-05T12:36:08.330800+00:00,dnk_redis,1.10%,39.28MiB / 3.825GiB,1.14MB / 709kB,31.2MB / 0B,8,2
2026-09-05T12:36:08.330800+00:00,dnk_postgres,0.00%,64.39MiB / 3.825GiB,1.73MB / 1.45MB,40.5MB / 39.7MB,8,2
2026-09-05T12:36:08.330800+00:00,dnk_pgvector,0.00%,45.77MiB / 3.825GiB,2.24kB / 126B,28.2MB / 307kB,8,2
2026-09-05T12:36:15.737648+00:00,cranky_kowalevski,0.00%,16.02MiB / 3.825GiB,872B / 126B,0B / 0B,8,2
2026-09-05T12:36:15.737648+00:00,gracious_bhaskara,0.00%,38.5MiB / 3.825GiB,1.82kB / 126B,24.2MB / 0B,8,2
2026-09-05T12:36:15.737648+00:00,dnk_frontend,0.00%,131.6MiB / 3.825GiB,2.33kB / 126B,106MB / 0B,8,2
2026-09-05T12:36:15.737648+00:00,dnk_backend,99.84%,308.9MiB / 3.825GiB,1.11MB / 1.38MB,157MB / 242kB,8,2
2026-09-05T12:36:15.737648+00:00,dnk_redis,0.38%,39.28MiB / 3.825GiB,1.14MB / 709kB,31.2MB / 0B,8,2
2026-09-05T12:36:15.737648+00:00,dnk_postgres,0.00%,64.47MiB / 3.825GiB,1.73MB / 1.45MB,40.5MB / 39.7MB,8,2
2026-09-05T12:36:15.737648+00:00,dnk_pgvector,7.49%,45.71MiB / 3.825GiB,2.24kB / 126B,28.2MB / 307kB,8,2
2026-09-05T12:36:23.038466+00:00,cranky_kowalevski,0.00%,16.02MiB / 3.825GiB,872B / 126B,0B / 0B,8,2
2026-09-05T12:36:23.038466+00:00,gracious_bhaskara,0.00%,38.5MiB / 3.825GiB,1.82kB / 126B,24.2MB / 0B,8,2
2026-09-05T12:36:23.038466+00:00,dnk_frontend,0.00%,131.5MiB / 3.825GiB,2.33kB / 126B,106MB / 0B,8,2
2026-09-05T12:36:23.038466+00:00,dnk_backend,99.15%,310.8MiB / 3.825GiB,2.35MB / 3.21MB,157MB / 242kB,8,2
2026-09-05T12:36:23.038466+00:00,dnk_redis,0.31%,39.49MiB / 3.825GiB,1.14MB / 709kB,31.2MB / 0B,8,2
2026-09-05T12:36:23.038466+00:00,dnk_postgres,0.00%,64.5MiB / 3.825GiB,1.73MB / 1.45MB,40.5MB / 39.7MB,8,2
2026-09-05T12:36:23.038466+00:00,dnk_pgvector,0.00%,45.82MiB / 3.825GiB,2.24kB / 126B,28.2MB / 307kB,8,2
2026-09-05T12:36:30.337916+00:00,cranky_kowalevski,0.00%,16.02MiB / 3.825GiB,872B / 126B,0B / 0B,8,2
2026-09-05T12:36:30.337916+00:00,gracious_bhaskara,0.00%,38.5MiB / 3.825GiB,1.82kB / 126B,24.2MB / 0B,8,2
2026-09-05T12:36:30.337916+00:00,dnk_frontend,0.00%,131.5MiB / 3.825GiB,2.33kB / 126B,106MB / 0B,8,2
2026-09-05T12:36:30.337916+00:00,dnk_backend,0.27%,310.9MiB / 3.825GiB,3.39MB / 4.6MB,157MB / 242kB,8,2
2026-09-05T12:36:30.337916+00:00,dnk_redis,1.07%,39.81MiB / 3.825GiB,1.14MB / 709kB,31.2MB / 0B,8,2
2026-09-05T12:36:30.337916+00:00,dnk_postgres,5.97%,64.77MiB / 3.825GiB,1.73MB / 1.45MB,40.5MB / 39.7MB,8,2
2026-09-05T12:36:30.337916+00:00,dnk_pgvector,6.11%,45.39MiB / 3.825GiB,2.24kB / 126B,28.2MB / 307kB,8,2
2026-09-05T12:36:37.629802+00:00,cranky_kowalevski,0.08%,16.02MiB / 3.825GiB,872B / 126B,0B / 0B,8,2
2026-09-05T12:36:37.629802+00:00,gracious_bhaskara,0.00%,38.5MiB / 3.825GiB,1.82kB / 126B,24.2MB / 0B,8,2
2026-09-05T12:36:37.629802+00:00,dnk_frontend,0.00%,131.5MiB / 3.825GiB,2.33kB / 126B,106MB / 0B,8,2
2026-09-05T12:36:37.629802+00:00,dnk_backend,0.33%,311.1MiB / 3.825GiB,3.44MB / 4.66MB,157MB / 242kB,8,2
2026-09-05T12:36:37.629802+00:00,dnk_redis,1.40%,39.35MiB / 3.825GiB,1.14MB / 709kB,31.2MB / 0B,8,2
2026-09-05T12:36:37.629802+00:00,dnk_postgres,0.00%,64.55MiB / 3.825GiB,1.73MB / 1.45MB,40.5MB / 39.7MB,8,2
2026-09-05T12:36:37.629802+00:00,dnk_pgvector,0.00%,46.12MiB / 3.825GiB,2.24kB / 126B,28.2MB / 307kB,8,2
2026-09-05T12:36:37.779452+00:00,cranky_kowalevski,0.08%,16.02MiB / 3.825GiB,872B / 126B,0B / 0B,8,2
2026-09-05T12:36:37.779452+00:00,gracious_bhaskara,0.00%,38.5MiB / 3.825GiB,1.82kB / 126B,24.2MB / 0B,8,2
2026-09-05T12:36:37.779452+00:00,dnk_frontend,0.00%,131.5MiB / 3.825GiB,2.33kB / 126B,106MB / 0B,8,2
2026-09-05T12:36:37.779452+00:00,dnk_backend,0.33%,311.1MiB / 3.825GiB,3.44MB / 4.66MB,157MB / 242kB,8,2
2026-09-05T12:36:37.779452+00:00,dnk_redis,1.40%,39.35MiB / 3.825GiB,1.14MB / 709kB,31.2MB / 0B,8,2
2026-09-05T12:36:37.779452+00:00,dnk_postgres,0.00%,64.55MiB / 3.825GiB,1.73MB / 1.45MB,40.5MB / 39.7MB,8,2
2026-09-05T12:36:37.779452+00:00,dnk_pgvector,0.00%,46.12MiB / 3.825GiB,2.24kB / 126B,28.2MB / 307kB,8,2
2026-09-05T12:36:45.193701+00:00,cranky_kowalevski,0.00%,16.02MiB / 3.825GiB,872B / 126B,0B / 0B,8,2
2026-09-05T12:36:45.193701+00:00,gracious_bhaskara,0.00%,38.5MiB / 3.825GiB,1.82kB / 126B,24.2MB / 0B,8,2
2026-09-05T12:36:45.193701+00:00,dnk_frontend,0.02%,130.9MiB / 3.825GiB,2.33kB / 126B,106MB / 0B,8,2
2026-09-05T12:36:45.193701+00:00,dnk_backend,0.29%,311.1MiB / 3.825GiB,3.44MB / 4.66MB,157MB / 242kB,8,2
2026-09-05T12:36:45.193701+00:00,dnk_redis,3.04%,39.67MiB / 3.825GiB,1.14MB / 709kB,31.2MB / 0B,8,2
2026-09-05T12:36:45.193701+00:00,dnk_postgres,3.98%,64.52MiB / 3.825GiB,1.73MB / 1.45MB,40.5MB / 39.7MB,8,2
2026-09-05T12:36:45.193701+00:00,dnk_pgvector,3.62%,45.7MiB / 3.825GiB,2.24kB / 126B,28.2MB / 307kB,8,2
2026-09-05T12:36:44.918580+00:00,cranky_kowalevski,0.00%,16.02MiB / 3.825GiB,872B / 126B,0B / 0B,8,2
2026-09-05T12:36:44.918580+00:00,gracious_bhaskara,0.00%,38.5MiB / 3.825GiB,1.82kB / 126B,24.2MB / 0B,8,2
2026-09-05T12:36:44.918580+00:00,dnk_frontend,0.02%,130.9MiB / 3.825GiB,2.33kB / 126B,106MB / 0B,8,2
2026-09-05T12:36:44.918580+00:00,dnk_backend,0.29%,311.1MiB / 3.825GiB,3.44MB / 4.66MB,157MB / 242kB,8,2
2026-09-05T12:36:44.918580+00:00,dnk_redis,1.90%,39.88MiB / 3.825GiB,1.14MB / 709kB,31.2MB / 0B,8,2
2026-09-05T12:36:44.918580+00:00,dnk_postgres,3.98%,64.52MiB / 3.825GiB,1.73MB / 1.45MB,40.5MB / 39.7MB,8,2
2026-09-05T12:36:44.918580+00:00,dnk_pgvector,3.62%,45.7MiB / 3.825GiB,2.24kB / 126B,28.2MB / 307kB,8,2
2026-09-05T12:36:52.209775+00:00,cranky_kowalevski,0.00%,16.02MiB / 3.825GiB,872B / 126B,0B / 0B,8,2
2026-09-05T12:36:52.209775+00:00,gracious_bhaskara,0.00%,38.5MiB / 3.825GiB,1.82kB / 126B,24.2MB / 0B,8,2
2026-09-05T12:36:52.209775+00:00,dnk_frontend,0.00%,130.9MiB / 3.825GiB,2.33kB / 126B,106MB / 0B,8,2
2026-09-05T12:36:52.209775+00:00,dnk_backend,0.25%,310.5MiB / 3.825GiB,3.44MB / 4.66MB,157MB / 242kB,8,2
2026-09-05T12:36:52.209775+00:00,dnk_redis,0.91%,39.4MiB / 3.825GiB,1.14MB / 709kB,31.2MB / 0B,8,2
2026-09-05T12:36:52.209775+00:00,dnk_postgres,0.00%,64.29MiB / 3.825GiB,1.73MB / 1.45MB,40.5MB / 39.7MB,8,2
2026-09-05T12:36:52.209775+00:00,dnk_pgvector,0.01%,45.66MiB / 3.825GiB,2.24kB / 126B,28.2MB / 307kB,8,2
